Epoch [0], last_lr: 0.00473, train_loss: 2.4192, val_loss: 6.3123, val_acc: 0.1657
Epoch [1], last_lr: 0.00544, train_loss: 1.9201, val_loss: 1.7589, val_acc: 0.3237
Epoch [2], last_lr: 0.00660, train_loss: 1.6306, val_loss: 1.5229, val_acc: 0.4261
Epoch [3], last_lr: 0.00820, train_loss: 1.4572, val_loss: 1.4536, val_acc: 0.4653
Epoch [4], last_lr: 0.01024, train_loss: 1.2987, val_loss: 1.1609, val_acc: 0.5729
Epoch [5], last_lr: 0.01268, train_loss: 1.1357, val_loss: 1.1672, val_acc: 0.5883
Epoch [6], last_lr: 0.01549, train_loss: 0.9988, val_loss: 1.0971, val_acc: 0.6206
Epoch [7], last_lr: 0.01866, train_loss: 0.8765, val_loss: 0.9681, val_acc: 0.6535
Epoch [8], last_lr: 0.02214, train_loss: 0.7655, val_loss: 1.0243, val_acc: 0.6585
Epoch [9], last_lr: 0.02590, train_loss: 0.6824, val_loss: 0.8018, val_acc: 0.7408
Epoch [10], last_lr: 0.02989, train_loss: 0.5930, val_loss: 0.6887, val_acc: 0.7706
Epoch [11], last_lr: 0.03407, train_loss: 0.5237, val_loss: 0.6435, val_acc: 0.7806
Epoch [12], last_lr: 0.03840, train_loss: 0.4747, val_loss: 0.5634, val_acc: 0.8158
Epoch [13], last_lr: 0.04282, train_loss: 0.4324, val_loss: 0.7221, val_acc: 0.7858
Epoch [14], last_lr: 0.04730, train_loss: 0.4081, val_loss: 0.6390, val_acc: 0.8008
Epoch [15], last_lr: 0.05177, train_loss: 0.3713, val_loss: 0.7734, val_acc: 0.7839
Epoch [16], last_lr: 0.05619, train_loss: 0.3516, val_loss: 1.1126, val_acc: 0.7158
Epoch [17], last_lr: 0.06051, train_loss: 0.3284, val_loss: 0.8152, val_acc: 0.7795
Epoch [18], last_lr: 0.06469, train_loss: 0.3069, val_loss: 0.6001, val_acc: 0.8151
Epoch [19], last_lr: 0.06868, train_loss: 0.2897, val_loss: 0.5150, val_acc: 0.8384
