Epoch [0], last_lr: 0.00043, train_loss: 1.5712, val_loss: 1.4806, val_acc: 0.4757
Epoch [1], last_lr: 0.00051, train_loss: 1.0538, val_loss: 1.0406, val_acc: 0.6194
Epoch [2], last_lr: 0.00064, train_loss: 0.8064, val_loss: 0.8727, val_acc: 0.6939
Epoch [3], last_lr: 0.00082, train_loss: 0.6356, val_loss: 0.9047, val_acc: 0.6966
Epoch [4], last_lr: 0.00104, train_loss: 0.5116, val_loss: 0.8701, val_acc: 0.7120
Epoch [5], last_lr: 0.00132, train_loss: 0.4174, val_loss: 1.7869, val_acc: 0.5803
Epoch [6], last_lr: 0.00163, train_loss: 0.3422, val_loss: 1.3601, val_acc: 0.6656
Epoch [7], last_lr: 0.00199, train_loss: 0.2864, val_loss: 0.8766, val_acc: 0.7555
Epoch [8], last_lr: 0.00238, train_loss: 0.2486, val_loss: 0.8730, val_acc: 0.7452
Epoch [9], last_lr: 0.00280, train_loss: 0.2237, val_loss: 0.9268, val_acc: 0.7563
Epoch [10], last_lr: 0.00325, train_loss: 0.1920, val_loss: 1.2549, val_acc: 0.6999
Epoch [11], last_lr: 0.00372, train_loss: 0.1558, val_loss: 0.8672, val_acc: 0.7778
Epoch [12], last_lr: 0.00421, train_loss: 0.1498, val_loss: 1.0395, val_acc: 0.7542
Epoch [13], last_lr: 0.00470, train_loss: 0.1224, val_loss: 1.1160, val_acc: 0.7483
Epoch [14], last_lr: 0.00521, train_loss: 0.1136, val_loss: 0.9130, val_acc: 0.7788
Epoch [15], last_lr: 0.00571, train_loss: 0.1104, val_loss: 1.8105, val_acc: 0.6668
Epoch [16], last_lr: 0.00620, train_loss: 0.1064, val_loss: 1.3309, val_acc: 0.7302
Epoch [17], last_lr: 0.00669, train_loss: 0.0769, val_loss: 1.3457, val_acc: 0.7473
Epoch [18], last_lr: 0.00716, train_loss: 0.0741, val_loss: 1.0069, val_acc: 0.7720
Epoch [19], last_lr: 0.00761, train_loss: 0.0759, val_loss: 1.0363, val_acc: 0.7767
Epoch [20], last_lr: 0.00803, train_loss: 0.0584, val_loss: 0.9660, val_acc: 0.7979
Epoch [21], last_lr: 0.00842, train_loss: 0.0679, val_loss: 1.0863, val_acc: 0.7717
Epoch [22], last_lr: 0.00877, train_loss: 0.0618, val_loss: 0.9740, val_acc: 0.8015
Epoch [23], last_lr: 0.00909, train_loss: 0.0536, val_loss: 0.7638, val_acc: 0.8223
Epoch [24], last_lr: 0.00936, train_loss: 0.0430, val_loss: 0.8812, val_acc: 0.8133
Epoch [25], last_lr: 0.00959, train_loss: 0.0393, val_loss: 1.0478, val_acc: 0.7948
Epoch [26], last_lr: 0.00977, train_loss: 0.0432, val_loss: 0.8209, val_acc: 0.8283
Epoch [27], last_lr: 0.00990, train_loss: 0.0392, val_loss: 0.8156, val_acc: 0.8294
